38, 254
58, 249
52, 203
60, 210
30, 169
2, 124
7, 177
5, 149
4, 141
7, 151
6, 168
7, 173
7, 174
3, 176
3, 176
7, 175
6, 168
8, 143
8, 133
1, 130
1, 89
2, 111
1, 95
1, 116
2, 162
2, 173
10, 237
10, 237
19, 222
20, 225
20, 202
4, 182
7, 203
7, 178
8, 188
20, 188
9, 220
9, 213
9, 204
9, 177
4, 218
24, 224
24, 219
56, 256
56, 243
12, 223
8, 197
6, 210
5, 221
3, 208
9, 206
8, 202
5, 177
5, 175
7, 184
5, 147
1, 160
4, 154
5, 158
12, 171
12, 191
3, 201
3, 200
4, 205
4, 206
11, 217
8, 194
13, 187
15, 191
13, 178
14, 179
15, 191
65, 210
5, 173
13, 173
9, 165
16, 170
16, 178
12, 146
8, 130
3, 127
2, 123
1, 127
1, 137
2, 180
12, 190
26, 194
50, 170
80, 207
86, 240
36, 257
16, 221
4, 214
4, 219
4, 218
6, 195
4, 167
8, 174
4, 149
8, 149
11, 163
4, 143
2, 188
3, 192
4, 193
6, 181
7, 200
1, 178
3, 190
10, 190
5, 169
28, 201
5, 185
4, 180
4, 191
4, 191
14, 199
15, 196
6, 210
26, 211
20, 204
1, 188
1, 193
1, 170
8, 193
16, 197
5, 170
11, 204
6, 180
36, 200
50, 221
21, 203
15, 197
2, 161
2, 165
2, 161
6, 195
9, 196
34, 210
11, 199
6, 198
4, 197
15, 195
484, 188
172, 170
40, 145
12, 140
4, 123
6, 147
6, 151
9, 190
5, 189
7, 177
3, 178
2, 164
11, 149
5, 192
46, 210
49, 208
41, 202
41, 213
20, 224
7, 196
4, 202
4, 199
4, 214
17, 214
7, 212
172, 68
48, 193
7, 167
9, 159
15, 149
6, 192
3, 158
3, 153
2, 152
4, 172
2, 186
4, 208
4, 209
2, 210
28, 243
14, 228
10, 220
2, 198
2, 206
1, 179
5, 198
2, 197
95, 204
6, 222
6, 198
5, 210
1, 173
2, 183
2, 175
2, 200
2, 187
5, 201
5, 191
15, 194
32, 204
165, 223
313, 225
143, 211
68, 240
20, 200
38, 248
8, 236
4, 226
6, 207
6, 198
16, 191
16, 197
22, 160
11, 166
25, 192
24, 206
26, 204
26, 233
14, 225
10, 231
7, 207
9, 198
6, 245
18, 242
64, 258
102, 261
59, 265
37, 247
57, 202
6, 190
5, 170
2, 196
3, 186
3, 191
