38, 254
58, 249
44, 203
20, 210
3, 169
2, 124
7, 177
5, 149
4, 141
7, 151
6, 168
7, 173
7, 174
3, 176
3, 176
7, 175
6, 168
8, 143
8, 133
1, 130
1, 89
2, 111
1, 95
1, 116
2, 162
2, 173
10, 237
10, 237
19, 222
20, 225
20, 202
4, 182
7, 203
7, 178
7, 186
22, 186
5, 218
5, 211
5, 202
187, 187
9, 231
8, 238
7, 225
6, 205
2, 179
6, 192
4, 189
3, 164
3, 204
3, 192
1, 194
3, 209
63, 237
12, 225
19, 196
13, 208
14, 199
14, 187
20, 196
24, 214
24, 214
58, 222
7, 166
6, 158
3, 195
3, 183
2, 181
1, 177
4, 203
